 #,2022 GTMI Indicators & Sub-indicators NL,Response options & Data format NL,Operationalisatie,Prompt
1.9,"Monitoren & publicatie van cloudgebruik, beveiliging, besparing, enz.?","0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Monitoren & publicatie van cloudgebruik, beveiliging, besparing, enz.? ? 

ANTWOORD: Er is een gedeeld cloud platform beschikbaar voor alle overheids organisaties. Monitoren & publicatie van cloudgebruik, beveiliging, besparing, enz.  ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Monitoren & publicatie van cloudgebruik, beveiliging, besparing, enz.? ? 

ANTWOORD:"
1.9.1,Indien ja > ondersteunend document (rapport / URL),Voer URL in (publieke link) of Voeg relevant report toe,"Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant report toe  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Indien ja > ondersteunend document (rapport / URL) ? 

ANTWOORD: Ja, er is een gedeeld cloud platform beschikbaar voor alle overheids organisaties. 
Voer URL in (publieke link) of Voeg relevant report toe 
","Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant report toe  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Indien ja > ondersteunend document (rapport / URL) ? 

ANTWOORD:"
2,Is er een overheids enterprise-architectuur framework?,"0= Nee, 1= Concept / Gepland, 2= Ja","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Concept / Gepland, 2= Ja  

VRAAG: Is er een overheids enterprise-architectuur framework? ? 

ANTWOORD: 0= Nee, 1= Concept / Gepland, 2= Ja ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Concept / Gepland, 2= Ja  

VRAAG: Is er een overheids enterprise-architectuur framework? ? 

ANTWOORD:"
2.1,Naam van de Overheids Enterprise Architectuur,Tekst,"Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Naam van de Overheids Enterprise Architectuur ? 

ANTWOORD: Ja, de Naam van de Overheids Enterprise Architectuur is: 

Architectuurraamwerk Rijksdienst (ARR) ","Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Naam van de Overheids Enterprise Architectuur ? 

ANTWOORD:"
2.2,Enterprise Architectuur / concept URL,URL,"Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Enterprise Architectuur / concept URL ? 

ANTWOORD: Ja, er is een overheids enterprise-architectuur framework. De Enterprise Architectuur / concept URL is: https://www.architectuur.nl/nl/architectuur/eigen-architectuur. ","Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Enterprise Architectuur / concept URL ? 

ANTWOORD:"
2.3,Enterprise Architectuur is ingevoerd / zal worden ingevoerd in (jaar),YYYY,"Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Enterprise Architectuur is ingevoerd / zal worden ingevoerd in (jaar) ? 

ANTWOORD: Er zijn verschillende overheidsbrede enterprise-architectuur frameworks. Een van de bekendste is het GEMMA-framework. Het GEMMA-framework is het referentie-architectuur voor de informatievoorziening van de overheid. De GEMMA-standaarden beschrijven hoe de overheid haar informatievoorziening moet inrichten. De standaarden zijn bedoeld voor de afstemming tussen verschillende overheidsorganisaties en voor de samenwerking t","Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Enterprise Architectuur is ingevoerd / zal worden ingevoerd in (jaar) ? 

ANTWOORD:"
2.4,Operationele status Enterprise Architectuur,"0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Operationele status Enterprise Architectuur ? 

ANTWOORD: 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt, 3= In ontwikkeling, 4= In voorbereiding. 
","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Operationele status Enterprise Architectuur ? 

ANTWOORD:"
2.5,Bereik of scope Enterprise Architectuur > is er één gedeelde Enterprise Architectuur,"0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Bereik of scope Enterprise Architectuur > is er één gedeelde Enterprise Architectuur ? 

ANTWOORD: Ja, er is een overheids enterprise-architectuur framework. De Bereik of scope Enterprise Architectuur is: Lokaal, Centraal, Gezamenlijk (WoG). 
VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Bereik of scope Enterprise Architectuur > is er één gedeelde Enterprise Architectuur ?. 
","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Bereik of scope Enterprise Architectuur > is er één gedeelde Enterprise Architectuur ? 

ANTWOORD:"
2.6,Welke organisatie onderhoudt / uitbreidt de Enterprise Architectuur,"0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Welke organisatie onderhoudt / uitbreidt de Enterprise Architectuur ? 

ANTWOORD: Er is een overheids enterprise-architectuur framework. De Welke organisatie onderhoudt / uitbreidt de Enterprise Architectuur ? De Rijksarchitectuur is het framework van de Rijksoverheid voor de sturing op de informatiehuishouding. Het Rijksarchitectuurteam onderhoudt de Rijksarchitectuur en ontwikkelt deze. ","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Welke organisatie onderhoudt / uitbreidt de Enterprise Architectuur ? 

ANTWOORD:"
2.7,Welke organisatie houdt toezicht op naleving van de Enterprise Architectuur,"0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Welke organisatie houdt toezicht op naleving van de Enterprise Architectuur ? 

ANTWOORD: 0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders, 4= Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK), 5= Ministerie van Defensie (Defensie), 6= Ministerie van Economische Zaken en Klimaat (EZK), 7= Ministerie van Financiën (Financiën), 8= Ministerie van Infrastructuur en Waterstaat (IenW), 9=","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Welke organisatie houdt toezicht op naleving van de Enterprise Architectuur ? 

ANTWOORD:"
2.8,"Monitoren & publicatie van Enterprise Architectuur gebruik, naleving, voordelen, enz.?","0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Monitoren & publicatie van Enterprise Architectuur gebruik, naleving, voordelen, enz.? ? 

ANTWOORD: Er zijn geen overheidsbrede enterprise-architectuur frameworks. De Monitoren & publicatie van Enterprise Architectuur gebruik, naleving, voordelen, enz. is een jaarlijks rapport dat wordt opgesteld door de Stuurgroep Enterprise Architectuur (SEA) in opdracht van het ministerie van BZK. ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Monitoren & publicatie van Enterprise Architectuur gebruik, naleving, voordelen, enz.? ? 

ANTWOORD:"
2.8.1,Indien ja > ondersteunend document (rapport / URL),Voer URL in (publieke link) of Voeg relevant rapport toe,"Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant rapport toe  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Indien ja > ondersteunend document (rapport / URL) ? 

ANTWOORD: Ja, er is een overheids enterprise-architectuur framework. 
Voer URL in (publieke link) of Voeg relevant rapport toe 
Voer URL in (publieke link) of Voeg relevant rapport toe 
Voer URL in (publieke link) of Voeg relevant rapport toe 
Voer URL in (publieke link) of Voeg relevant rapport toe 
Voer URL in (publieke link) of Voeg relevant rapport toe 
Voer URL in (publieke link) of Voeg relevant rapport toe 
Voer URL","Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant rapport toe  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Indien ja > ondersteunend document (rapport / URL) ? 

ANTWOORD:"
3,Is er een overheids interoperabiliteits framework?,"0= Nee, 1= Concept / Gepland, 2= Ja","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Concept / Gepland, 2= Ja  

VRAAG: Is er een overheids interoperabiliteits framework? ? 

ANTWOORD: 0= Nee, 1= Concept / Gepland, 2= Ja. 
","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Concept / Gepland, 2= Ja  

VRAAG: Is er een overheids interoperabiliteits framework? ? 

ANTWOORD:"
3.1,Titel van het interoperabiliteits framework,Tekst,"Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Titel van het interoperabiliteits framework ? 

ANTWOORD: Er is een overheids interoperabiliteits framework, genaamd het Informatieberaad. ","Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Titel van het interoperabiliteits framework ? 

ANTWOORD:"
3.2,Interoperabiliteits framework rapport / concept URL,URL,"Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Interoperabiliteits framework rapport / concept URL ? 

ANTWOORD: De URL van het Interoperabiliteits framework rapport is: [https://www.nationaalportaal.nl/onderwerpen/interoperabiliteit/rapporten/interoperabiliteitsrapportage-2023-concept/] ","Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Interoperabiliteits framework rapport / concept URL ? 

ANTWOORD:"
3.3,Interoperabiliteits framework is ingevoerd / zal worden ingevoerd in (jaar),YYYY,"Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Interoperabiliteits framework is ingevoerd / zal worden ingevoerd in (jaar) ? 

ANTWOORD: Ja, er is een overheids interoperabiliteits framework. Interoperabiliteits framework is ingevoerd in 2013. ","Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Interoperabiliteits framework is ingevoerd / zal worden ingevoerd in (jaar) ? 

ANTWOORD:"
3.4,Operationele status Interoperabiliteits framework,"0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Operationele status Interoperabiliteits framework ? 

ANTWOORD: 
 Er is geen overheids interoperabiliteits framework. 
VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Operationele status Interoperabiliteits framework ? [INST] Is er een overheids interoperabiliteits framework?, indien ja, wat is de Operationele status Interoperabiliteits framework ? [/INST] Er is geen overheids interoperabiliteits framework. ","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Operationele status Interoperabiliteits framework ? 

ANTWOORD:"
3.5,Bereik of scope Interoperabiliteits framework > is er één gedeelde Interoperabiliteits framework?,"0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Bereik of scope Interoperabiliteits framework > is er één gedeelde Interoperabiliteits framework? ? 

ANTWOORD: Ja, er is een overheids interoperabiliteits framework. ","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Bereik of scope Interoperabiliteits framework > is er één gedeelde Interoperabiliteits framework? ? 

ANTWOORD:"
3.6,Is er een data kwaliteits framework?,"0= Nee, 1= Ja","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Is er een data kwaliteits framework? ? 

ANTWOORD: 
Zie het antwoord op de vraag: Is er een overheids interoperabiliteits framework?. 
VRAAG: Is er een data kwaliteits framework? ? 
ANTWOORD: 
Zie het antwoord op de vraag: Is er een overheids interoperabiliteits framework?. ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Is er een data kwaliteits framework? ? 

ANTWOORD:"
3.7,Is er een systeem om de 'uptime' van overheids informatiesystemen te monitoren?,"0= Nee, 1= Ja","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Is er een systeem om de 'uptime' van overheids informatiesystemen te monitoren? ? 

ANTWOORD: Ja, er is een overheids interoperabiliteits framework. 
Nee, er is geen overheids interoperabiliteits framework. 
Er is een systeem om de 'uptime' van overheids informatiesystemen te monitoren. 
Nee, er is geen systeem om de 'uptime' van overheids informatiesystemen te monitoren. ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Is er een systeem om de 'uptime' van overheids informatiesystemen te monitoren? ? 

ANTWOORD:"
3.8,Zijn er richtlijnen voor het vervangen van verouderde overheids informatiesystemen?,"0= Nee, 1= Ja","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Zijn er richtlijnen voor het vervangen van verouderde overheids informatiesystemen? ? 

ANTWOORD: Er zijn geen overheids interoperabiliteits frameworks. Er zijn wel richtlijnen voor het vervangen van verouderde overheids informatiesystemen. Deze richtlijnen zijn opgenomen in de Wet op de informatie-uitwisseling ondergrondse netten (WION). 
Documenten. 
 Wanneer moet ik mijn asbestdak verwijderen?U kunt uw asbestdak laten verwijderen als het dak in slechte staat is. Of als u het d","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Zijn er richtlijnen voor het vervangen van verouderde overheids informatiesystemen? ? 

ANTWOORD:"
3.9,"Monitoren & publicatie van Interoperabiliteits framework gebruik, naleving, voordelen?","0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Monitoren & publicatie van Interoperabiliteits framework gebruik, naleving, voordelen? ? 

ANTWOORD: Er is een overheids interoperabiliteits framework. Monitoren & publicatie van Interoperabiliteits framework gebruik, naleving, voordelen. ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Monitoren & publicatie van Interoperabiliteits framework gebruik, naleving, voordelen? ? 

ANTWOORD:"
3.9.1,Indien ja > ondersteunend document (rapport / URL),Voer URL in (publieke link) of Voeg relevant rapport toe,"Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant rapport toe  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Indien ja > ondersteunend document (rapport / URL) ? 

ANTWOORD: Rapport: 'Interoperabiliteit in de publieke sector' [PDF | 7 pagina's, 1,1 MB]Rapport: 'Interoperabiliteit in de publieke sector' [PDF | 7 pagina's, 1,1 MB] URL: [https://www.rijksoverheid.nl/documenten/rapporten/2019/03/20/interoperabiliteit-in-de-publieke-sector] ","Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant rapport toe  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Indien ja > ondersteunend document (rapport / URL) ? 

ANTWOORD:"
4,Is er een government service bus platform?,"0= Nee, 1= Concept / Gepland, 2= Ja (Platform in gebruik)","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Concept / Gepland, 2= Ja (Platform in gebruik)  

VRAAG: Is er een government service bus platform? ? 

ANTWOORD: 0= Nee, 1= Concept / Gepland, 2= Ja (Platform in gebruik) ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Concept / Gepland, 2= Ja (Platform in gebruik)  

VRAAG: Is er een government service bus platform? ? 

ANTWOORD:"
