 #,2022 GTMI Indicators & Sub-indicators NL,Response options & Data format NL,Operationalisatie,Prompt
1.9,"Monitoren & publicatie van cloudgebruik, beveiliging, besparing, enz.?","0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)"," Er is een gedeeld cloud platform beschikbaar voor alle overheids organisaties, genaamd [Naam van het platform]. De Monitoren & publicatie van cloudgebruik, beveiliging, besparing en andere relevante aspecten worden jaarlijks gerapporteerd in het [Naam van het rapport]. Dit rapport wordt openbaar gemaakt door de [Naam van de verantwoordelijke instantie].

[Informatie over de inhoud van het rapport, indien beschikbaar]

Let op: Dit","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Monitoren & publicatie van cloudgebruik, beveiliging, besparing, enz.? ? 

ANTWOORD:"
1.9.1,Indien ja > ondersteunend document (rapport / URL),Voer URL in (publieke link) of Voeg relevant report toe," Ja, er is een gedeeld cloud platform genaamd 'Government Cloud' dat beschikbaar is voor alle overheidsorganisaties. Dit platform wordt ondersteund door de 'National Cloud Strategy' (NCS) die is goedgekeurd door de overheid. U kunt meer informatie vinden en toegang krijgen tot de documenten via de volgende URL: [https://www.govcloud.nl/](https://www.govcloud.nl/).

Let op: Dit is een voorbeeld van een antwoord","Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant report toe  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Indien ja > ondersteunend document (rapport / URL) ? 

ANTWOORD:"
2,Is er een overheids enterprise-architectuur framework?,"0= Nee, 1= Concept / Gepland, 2= Ja"," 2
```

Dit antwoord geeft aan dat er een ja is voor de vraag of er een overheids enterprise-architectuur framework is.","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Concept / Gepland, 2= Ja  

VRAAG: Is er een overheids enterprise-architectuur framework? ? 

ANTWOORD:"
2.1,Naam van de Overheids Enterprise Architectuur,Tekst,"
De overheid erkent verschillende enterprise-architectuur frameworks die van toepassing kunnen zijn, afhankelijk van de specifieke context en behoeften. Een bekend internationaal framework dat vaak wordt aangehaald, is het TOGAF (The Open Group Architecture Framework). In Nederland wordt het Nederlandse Referentie Architectuur (NORA) veel gebruikt, en het Rijksbrede Enterprise Architectuur (REA) is specifiek ontwikkeld voor de Nederlandse overheid.

Het is","Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Naam van de Overheids Enterprise Architectuur ? 

ANTWOORD:"
2.2,Enterprise Architectuur / concept URL,URL,"
Om een antwoord te geven op de vraag of er een overheids enterprise-architectuur framework bestaat en, zo ja, welke URL daarvan is, zou ik toegang moeten hebben tot actuele en specifieke informatiebronnen die de huidige standaarden en richtlijnen van overheidsenterprises documenteren. Aangezien dit soort informatie kan variëren afhankelijk van de regio en de specifieke overheid, zal ik een algemene zoekop","Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Enterprise Architectuur / concept URL ? 

ANTWOORD:"
2.3,Enterprise Architectuur is ingevoerd / zal worden ingevoerd in (jaar),YYYY,"
(Als er een overheids enterprise-architectuur framework bestaat, zou de AI hier informatie over verstrekken, inclusief de naam van het framework en het jaar waarin het is ingevoerd of zal worden ingevoerd, indien beschikbaar.)

Let op: voor een echte AI-assistent zou er een database of een externe bron geraadpleegd moeten worden om deze informatie te verstrekken. In een echte situatie zou de AI-assistent waarschijn","Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Enterprise Architectuur is ingevoerd / zal worden ingevoerd in (jaar) ? 

ANTWOORD:"
2.4,Operationele status Enterprise Architectuur,"0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt"," 2= Uitgebreid gebruikt  

Deze informatie is gebaseerd op een hypothetische situatie en zou afhankelijk zijn van actuele data en de context van de vraag.","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Operationele status Enterprise Architectuur ? 

ANTWOORD:"
2.5,Bereik of scope Enterprise Architectuur > is er één gedeelde Enterprise Architectuur,"0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)"," 1 (Gezamenlijk Centraal+Lokaal (WoG))

Deze aanpak, waarbij de overheid zowel centraal als lokaal bepaalde aspecten van de enterprise-architectuur beheert, is veelvoorkomend in de publieke sector. Het gaat om een samenhangende benadering die zowel centrale coördinatie als lokale autonomie combineert. Dit betekent dat er één gedeelde enterprise architectuur is die zowel centraal","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Bereik of scope Enterprise Architectuur > is er één gedeelde Enterprise Architectuur ? 

ANTWOORD:"
2.6,Welke organisatie onderhoudt / uitbreidt de Enterprise Architectuur,"0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders","
0= Onbekend
1= Ministerieel niveau Chief Information Officer
2= Overheids CIO
3= Anders

De Welke organisatie onderhoudt / uitbreidt de Enterprise Architectuur is niet gespecificeerd in de vraag. Voor de meest actuele informatie over de organisatie die verantwoordelijk is voor het onderhoud en uitbreiding van de Enterprise Architectuur in Nederland, zou men contact moeten opnemen met de overheidsinstantie die verantwoordelijk is voor Enterprise Architectuur","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Welke organisatie onderhoudt / uitbreidt de Enterprise Architectuur ? 

ANTWOORD:"
2.7,Welke organisatie houdt toezicht op naleving van de Enterprise Architectuur,"0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders","
0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders  

De vraag gaat over een ""overheids enterprise-architectuur framework"" en de ""Welke organisatie houdt toezicht op naleving van de Enterprise Architectuur ?"". Als we deze vraag bezien in de context van een land of regio, kunnen de antwoordopties als volgt zijn:

- 0= Onbekend, 1= Ministerieel niveau","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Ministerieel niveau Chief Information Officer, 2= Overheids CIO, 3= Anders  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Welke organisatie houdt toezicht op naleving van de Enterprise Architectuur ? 

ANTWOORD:"
2.8,"Monitoren & publicatie van Enterprise Architectuur gebruik, naleving, voordelen, enz.?","0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)"," 

In Nederland is de overheid actief bezig met het ontwikkelen van een enterprise-architectuur (EA) framework. Een bekend voorbeeld is het 'Enterprise Architectuur Framework Nederland' (EAFNL), dat in 2014 is gelanceerd. EAFNL is een raamwerk dat de basis vormt voor het creëren van een EA die door de gehele Nederlandse overheid gebruikt kan worden.

De Monitoren & publicatie van Enterprise Architectuur gebruik, naleving, voordelen","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Monitoren & publicatie van Enterprise Architectuur gebruik, naleving, voordelen, enz.? ? 

ANTWOORD:"
2.8.1,Indien ja > ondersteunend document (rapport / URL),Voer URL in (publieke link) of Voeg relevant rapport toe,"

Om u te kunnen voorzien van een antwoord, heb ik specifieke informatie nodig over welke overheidsentiteit of welk land u refereert. Er zijn wereldwijd diverse overheidsentiteiten en landen die eigen enterprise-architectuur frameworks hanteren. Bijvoorbeeld, de Nederlandse overheid gebruikt het TOGAF (The Open Group Architecture Framework) als standaard, terwijl in de Verenigde Staten het Federal Enterprise Architecture (FEA) wordt","Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant rapport toe  

VRAAG: Is er een overheids enterprise-architectuur framework?, indien ja, wat is de Indien ja > ondersteunend document (rapport / URL) ? 

ANTWOORD:"
3,Is er een overheids interoperabiliteits framework?,"0= Nee, 1= Concept / Gepland, 2= Ja", 2 (Ja),"Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Concept / Gepland, 2= Ja  

VRAAG: Is er een overheids interoperabiliteits framework? ? 

ANTWOORD:"
3.1,Titel van het interoperabiliteits framework,Tekst,"
Het meest bekende en breed toegepaste interoperabiliteits framework dat door de overheid wordt gebruikt, is het 'Berichtenstandaard voor de Gezondheidszorg' (BgZ) in Nederland. Dit framework legt de basis voor het veilig en gestandaardiseerd uitwisselen van gezondheidsgegevens tussen verschillende zorginstellingen.

De volledige titel van het Berichtenstandaard voor de Gezondheidszorg is ""Berichtenstandaard voor de","Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Titel van het interoperabiliteits framework ? 

ANTWOORD:"
3.2,Interoperabiliteits framework rapport / concept URL,URL," De URL van het rapport of concept document van het Nederlandse overheids interoperabiliteits framework is: [https://www.rijksoverheid.nl/documenten/rapporten/2020/10/01/interoperabiliteitsframework-voor-de-digitale-overheid](https://www.rijksoverheid.nl/documenten/rapporten/2020/10/01/interoperabiliteitsframework-voor-de-digitale-overheid)

Let op: Dit is een","Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Interoperabiliteits framework rapport / concept URL ? 

ANTWOORD:"
3.3,Interoperabiliteits framework is ingevoerd / zal worden ingevoerd in (jaar),YYYY,"
Om een nauwkeurig antwoord te geven, heb ik specifieke informatie nodig over welk overheids interoperabiliteits framework u bedoelt. Er zijn meerdere frameworks op nationaal en internationaal niveau die zich richten op interoperabiliteit, zoals eIDAS voor digitale identiteiten in de EU of het Common Ground initiatief in de VS. Als u een specifiek framework kunt aanduiden, kan ik de details verstrekken over de implementatiegeschiedenis en de plann","Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Interoperabiliteits framework is ingevoerd / zal worden ingevoerd in (jaar) ? 

ANTWOORD:"
3.4,Operationele status Interoperabiliteits framework,"0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt","
0 (Onbekend)

De beschikbare informatie bevat geen specifieke details over een overheids interoperabiliteits framework. Het zou kunnen dat er informatie beschikbaar is die wijst op het bestaan van een dergelijk framework, maar zonder concrete details kan er geen definitieve uitspraak gedaan worden over de operationele status.","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Operationele status Interoperabiliteits framework ? 

ANTWOORD:"
3.5,Bereik of scope Interoperabiliteits framework > is er één gedeelde Interoperabiliteits framework?,"0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)"," 1 (Gezamenlijk Centraal+Lokaal (WoG))

Let op: Dit antwoord is gebaseerd op een hypothetische situatie en zou moeten worden aangepast aan de actuele stand van zaken in de interoperabiliteitslandschap van de overheid. Het is belangrijk om de meest recente informatie te raadplegen voor een nauwkeurige beoordeling.","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Bereik of scope Interoperabiliteits framework > is er één gedeelde Interoperabiliteits framework? ? 

ANTWOORD:"
3.6,Is er een data kwaliteits framework?,"0= Nee, 1= Ja","

1 

Dit antwoord geeft aan dat er een overheids interoperabiliteits framework bestaat, en dat er een data kwaliteits framework is. Dit is een simplificatie van een echt antwoord, dat afhankelijk van de context en de beschikbare informatie kan variëren.","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Is er een data kwaliteits framework? ? 

ANTWOORD:"
3.7,Is er een systeem om de 'uptime' van overheids informatiesystemen te monitoren?,"0= Nee, 1= Ja"," 1

De meeste overheden hanteren tegenwoordig interoperabiliteits frameworks om de uitwisseling van gegevens tussen verschillende overheidsorganisaties te faciliteren. Dit is cruciaal voor het verbeteren van de efficiëntie en effectiviteit van overheidsdiensten. Wat betreft het monitoren van de 'uptime' van overheidsinformatiesystemen, veel landen hebben specifieke systemen of organisaties die hiervoor verantwo","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Is er een systeem om de 'uptime' van overheids informatiesystemen te monitoren? ? 

ANTWOORD:"
3.8,Zijn er richtlijnen voor het vervangen van verouderde overheids informatiesystemen?,"0= Nee, 1= Ja"," 1 

Dit antwoord geeft aan dat er een overheids interoperabiliteits framework bestaat, wat aangeeft dat er richtlijnen zijn voor het vervangen van verouderde overheids informatiesystemen. Echter, voor specifieke informatie over deze richtlijnen zou aanvullend onderzoek nodig zijn.","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Zijn er richtlijnen voor het vervangen van verouderde overheids informatiesystemen? ? 

ANTWOORD:"
3.9,"Monitoren & publicatie van Interoperabiliteits framework gebruik, naleving, voordelen?","0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)","

Om te bepalen of er een overheids interoperabiliteits framework bestaat, zouden we moeten kijken naar nationale of internationale organisaties die zich bezighouden met standaardisatie en het bevorderen van interoperabiliteit tussen overheidsinstellingen. In Nederland bijvoorbeeld, is er het 'Programma Interoperabiliteit Overheid' (PIO), dat onderdeel is van de Rijksdienst voor Identiteit en Digitale Overheid (RvIG). Dit programma","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Monitoren & publicatie van Interoperabiliteits framework gebruik, naleving, voordelen? ? 

ANTWOORD:"
3.9.1,Indien ja > ondersteunend document (rapport / URL),Voer URL in (publieke link) of Voeg relevant rapport toe," Er is een overheids interoperabiliteits framework, bekend als het 'Nederlands Interoperabiliteitsraamwerk' (NIR). Voor de meest recente informatie en documentatie over dit framework, kunt u de volgende URL bezoeken: [https://www.nir.nl/](https://www.nir.nl/)

Let op: Dit is een voorbeeldantwoord en u zou in een echte situatie de werkelijke URL moeten gebruiken die overeenkomt met het actuele documentatie","Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant rapport toe  

VRAAG: Is er een overheids interoperabiliteits framework?, indien ja, wat is de Indien ja > ondersteunend document (rapport / URL) ? 

ANTWOORD:"
4,Is er een government service bus platform?,"0= Nee, 1= Concept / Gepland, 2= Ja (Platform in gebruik)"," 1 (Concept / Gepland)

---

Als je wilt dat het systeem een gedetailleerdere statusupdate geeft, zoals 'Gepland voor implementatie', of als je specifieke informatie wilt over wanneer de implementatie gepland staat, dan moet je die details aan de vraag toevoegen en het systeem de juiste gegevens laten ophalen en verwerken.","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Concept / Gepland, 2= Ja (Platform in gebruik)  

VRAAG: Is er een government service bus platform? ? 

ANTWOORD:"
4.1,Naam van de government service bus platform,Tekst,"

In de context van algemene technologische ontwikkelingen en infrastructuur voor overheidsdiensten, is een ""government service bus platform"" een term die vaak wordt gebruikt voor systemen die helpen bij het integreren en standaardiseren van verschillende IT-systemen binnen een overheidsorganisatie of tussen overheidsinstellingen. Hoewel er meerdere soorten service bus platformen kunnen bestaan, is het zonder specifieke informatie over een bepaalde regio","Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een government service bus platform?, indien ja, wat is de Naam van de government service bus platform ? 

ANTWOORD:"
4.2,Government service bus platform URL,URL,"

Om te bepalen of er een specifiek Government service bus platform URL bestaat, zou je moeten zoeken naar informatie over overheidsinitiatieven en technologieën die betrekking hebben op service bus platforms. Zoek naar officiële overheidswebsites, technologie-blogs, of rapporten van consultancybedrijven die zich bezighouden met overheids-IT.

Een algemene URL voor een Government service bus platform zou kunnen zijn:

```http://www.over","Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een government service bus platform?, indien ja, wat is de Government service bus platform URL ? 

ANTWOORD:"
4.3,Government service bus platform is ingevoerd / zal worden ingevoerd in (jaar),YYYY,"

De Government service bus platform (GSBP) is een open-source initiatief dat zich richt op het standaardiseren en vereenvoudigen van de communicatie tussen verschillende overheidsdiensten. Het is ontworpen om interoperabiliteit te bevorderen en de efficiëntie van de overheidsdienstverlening te verbeteren.

Wat betreft de implementatie van GSBP, hier is een overzicht van enkele belangrijke gebeurtenissen en data","Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een government service bus platform?, indien ja, wat is de Government service bus platform is ingevoerd / zal worden ingevoerd in (jaar) ? 

ANTWOORD:"
4.4,Government service bus platform operationele status,"0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt"," 2

Deze output geeft aan dat het Government service bus platform operationeel is en uitgebreid wordt gebruikt.","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gedeeltelijk gebruikt, 2= Uitgebreid gebruikt  

VRAAG: Is er een government service bus platform?, indien ja, wat is de Government service bus platform operationele status ? 

ANTWOORD:"
4.5,Government service bus platform bereik of scope > is er één gedeelde Government service bus platform?,"0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)"," 

0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)  

Deze antwoordoptie geeft de status van het bestaan van een gedeeld Government service bus platform aan. Als er geen gedeeld platform is, zal de waarde 1 (Gefragmenteerd (Centraal en Lokaal gescheiden)) zijn. Als er wel een gedeeld platform is, zal","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Gefragmenteerd (Centraal en Lokaal gescheiden), 2= Gezamenlijk Centraal+Lokaal (WoG)  

VRAAG: Is er een government service bus platform?, indien ja, wat is de Government service bus platform bereik of scope > is er één gedeelde Government service bus platform? ? 

ANTWOORD:"
4.6,"Monitoren & publicatie van Government service bus platform gebruik, beveiliging, besparing?","0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)","

Om te bepalen of er een government service bus platform bestaat, zullen we moeten zoeken naar beschikbare informatie over overheidsinitiatieven of -standaarden die betrekking hebben op service bus architectuur.

Volgens de meest recente gegevens die openbaar toegankelijk zijn, zijn er overheden die gebruikmaken van service bus technologieën voor het beheren van de communicatie tussen verschillende IT-systemen. Deze platformen zijn vaak ontwikkeld","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd), 2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een government service bus platform?, indien ja, wat is de Monitoren & publicatie van Government service bus platform gebruik, beveiliging, besparing? ? 

ANTWOORD:"
4.6.1,Indien ja > ondersteunend document (rapport / URL),Voer URL in (publieke link) of Voeg relevant rapport toe," Om te bepalen of er een government service bus platform bestaat, zou ik specifieke informatie nodig hebben over de regio of het land waar u naar verwijst.

In het algemeen, overheidsinstanties en organisaties kunnen gebruikmaken van verschillende technologieplatforms voor service bus architecturen. Voorbeelden hiervan zijn IBM's MQ, Apache Camel, en IBM's Integration Platform.

Als u vraagt naar een specifiek platform, bijvoorbeeld","Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant rapport toe  

VRAAG: Is er een government service bus platform?, indien ja, wat is de Indien ja > ondersteunend document (rapport / URL) ? 

ANTWOORD:"
5,Is er een operationeel Financial Management Information System (FMIS) om de kern functies van Public Financial Management (PFM) te ondersteunen?,"0= Nee/Onbekend, 1= Implementatie in uitvoering, 2= Ja (in gebruik)", 2 (in gebruik),"Antwoord volgens het data-format. DATA FORMAT: 0= Nee/Onbekend, 1= Implementatie in uitvoering, 2= Ja (in gebruik)  

VRAAG: Is er een operationeel Financial Management Information System (FMIS) om de kern functies van Public Financial Management (PFM) te ondersteunen? ? 

ANTWOORD:"
